Author,Organization,Score
Ndancejic,Microsoft,67.8
sridhar-ravindran,Dell,67.5
srideepDell,Dell,66.55
mihirpat1,Microsoft,65.7
abanu-ms,Others,64.75
EdenGri,Nvidia,64.5
dbarashinvd,Nvidia,64.5
mdanish-kh,xFlow Research,64.5
vharish02,Others,64.2
srj102,Broadcom,63.05
svshah-intel,Intel,63.0
PrabhuSreenivasan,Broadcom,62.9
rraguraj,Others,61.0
vsenchyshyn,Intel,60.5
SijiJ,Juniper,60.0
mmysle,Others,60.0
bluecmd,Others,59.75
ravi861,Others,59.6
kperumalbfn,Intel,59.2
brandonchuang,Others,59.0
sydlogan,Broadcom,58.8
mini-nair-dell,Dell,58.5
arunlk-dell,Dell,58.0
MariuszStachura,Others,57.0
rajkumar38,Marvell,56.75
nikos-github,Others,55.65
tomer-israel,Nvidia,55.0
VenkatCisco,Cisco,54.0
zhiyuan0112,Microsoft,54.0
rupesh-k,Broadcom,53.5
oleksandrivantsiv,Nvidia,53.4
tonytitus,Others,51.95
kirankella,Broadcom,51.75
kbabujp,Marvell,51.0
gord1306,Edgecore,50.6
Sabareesh-Kumar-Anandan,Others,50.0
MaxYaremchuk,Others,49.5
michaelli10,Broadcom,49.05
tylerlinp,Others,49.05
LuiSzee,Centec,47.7
mohan-selvaraj,Broadcom,47.5
rck-innovium,Marvell,46.45
anand-kumar-subramanian,Broadcom,46.25
pphuchar,Celestica,46.0
romanvasylys,Intel,45.6
mikeberesford,Google,45.2
abohanyang,Broadcom,45.0
cgangx,Microsoft,45.0
kmalek-priv,Others,45.0
ustachowiak,Others,45.0
seiferteric,Others,44.95
caizhenghui-juniper,Juniper,44.25
abhijit-dhar,Others,44.0
phshaikh,Others,43.5
kevinwangsk,Nvidia,43.45
chrispsommers,Keysight,43.35
dereksun01,Others,43.0
MELLANOX-zhichenr,Nvidia,42.75
d-dashkov,Jabil,42.75
arfeigin,Nvidia,42.3
kishorekunal01,Broadcom,42.2
donNewtonIntel,Intel,42.0
lixiaoyuner,Microsoft,42.0
maggiemsft,Microsoft,41.95
olivier-singla,Broadcom,41.75
stephengao-ragilenetworks,Ragile,41.75
kktheballer,Microsoft,41.4
Praveen-Brcm,Broadcom,41.2
monipko,Intel,41.2
microsoft-cla-retired,Microsoft,40.8
mdivyamohan,Others,40.5
aurghob,Microsoft,40.0
sg893052,Broadcom,39.8
svelamal,Others,39.0
iMasaruOki,Internet Initiative Japan,38.75
iris00522,Edgecore,38.75
yangbashuang,Centec,38.75
ngoc-do,Broadcom,38.7
macikgozwa,Others,38.65
gitsabari,Broadcom,38.5
dmytroxshevchuk,Others,38.0
tarakreddy1984,Others,37.75
bandaru-viswanath,Broadcom,37.7
msiddare,Others,37.5
hui-ma,Microsoft,36.8
jiahua-wang,Broadcom,36.1
FunForNOS,Others,36.0
RogerX87,Others,36.0
mkovnir,Nvidia,36.0
dipankar-ba,Broadcom,35.95
paulmenzel,Max-Planck-Institut,35.75
a-barboza,Broadcom,35.7
globaltrouble,Others,35.3
ashutosh-agrawal,Intel,35.2
Cosmin-Jinga-MS,Others,35.0
erohsik,Others,35.0
SubhajitPalKeysight,Keysight,34.5
carl-nokia,Nokia,34.2
xinyulin,Others,34.05
taocy001,Others,34.0
abhiranjeet,Others,33.75
gollarharsha,Others,33.75
seanwu-ec,Accton,33.75
chaoskao,Edgecore,33.7
mlorrillere,Others,33.7
mykolaxgerasymenko,Intel,33.5
SidharajU,Others,33.45
geans-pin,Broadcom,33.1
jonathantsai-qci,Others,33.0
shyam77git,Others,32.45
kv-y,Others,32.4
chenkelly,Edgecore,32.25
dawnbeauty,Others,31.6
donNewtonAlpha,Open Networking Foundation,31.55
gengankarthik,Dell,31.5
nazeerhussainf,Others,31.5
saksarav-nokia,Nokia,31.5
saravanansv,Broadcom,31.4
shubav,Nokia,31.4
eswaranb,Others,31.2
chiourung,Edgecore,30.95
NazarTkachuk,Others,30.0
aputriax,Intel,30.0
isgmano,Others,30.0
zhanggongc,Others,30.0
wangshengjun,Asterfusion,29.9
kuanyu99,Edgecore,29.85
rodnymolina,Docker,29.5
sojindal,Others,29.0
pollyhsu2git,Edgecore,28.95
j-bos,Cisco,28.6
roberthong-qct,Others,28.6
tapashdas,Broadcom,28.55
devpatha,Cisco,28.5
skeesara-nokia,Nokia,28.05
baxia-lan,Google,27.75
minionatwork,Others,27.55
madhava28,Others,27.25
arvbb,Others,27.0
kerry-meyer,Dell,27.0
linemma,Edgecore,27.0
longhuan-cisco,Cisco,27.0
romankachur-mlnx,Nvidia,27.0
AmitKaushik7,Broadcom,26.5
joyas-joseph,Others,26.4
hans-tseng,Others,26.0
prabhataravind,Microsoft,25.8
GarrickHe,Others,25.5
KrisNey-MSFT,Microsoft,25.5
mkbalani,Others,25.45
mikelazar,Dell,25.2
aganguly-keysight,Others,25.0
miheot,Others,25.0
mpiechocinski,Intel,25.0
anshuv-mfst,Microsoft,24.8
anilkpan,Broadcom,24.5
Ashish1805,Google,24.4
heidinet2007,Alibaba,24.2
BaluAlluru,Others,24.0
William-zx,Others,24.0
echuawu,Nvidia,24.0
henzelis,Others,24.0
ph408077,Broadcom,24.0
BrynXu,Others,23.4
dev-aviz,Others,23.0
kwangsuk,Dell,22.8
rkdevi27,Dell,22.75
andriyz-nv,Nvidia,22.5
aseaudi,Others,22.5
dellwuchuan,Nvidia,22.5
zhengbiqing,Others,22.5
carycelestica,Celestica,22.0
mbalachandar,Broadcom,22.0
SarathBug,Broadcom,21.95
sandycelestica,Celestica,21.9
deran1980,Nvidia,21.5
harish-kalyanaraman,Nokia,21.5
alpeshspatel,Others,21.15
ByReaL,Keysight,21.0
KostiantynYarovyiBf,Others,21.0
Nakrez,Broadcom,21.0
tbgowda,Others,21.0
tiejunzhang,Microsoft,21.0
yenlu-keith,Cisco,21.0
ziverlichson,Others,21.0
Megathrone,Microsoft,20.65
zhangyanzhao,Microsoft,20.35
AntheaJiang,Others,20.25
pyuvarajan,Others,20.0
shihhsien-wang,Edgecore,20.0
shruthi9,Intel,20.0
developfast,Microsoft,19.9
MichelMoriniaux,criteo,19.8
UmaMaven,Others,19.5
guking3,Others,19.5
irene-pan1202,Others,19.5
microsoft-github-policy-service,Microsoft,19.5
anilkpandey,Broadcom,19.3
Minkang-Tsai,Edgecore,19.2
maulik-marvell,Marvell,19.1
antoninamelnyk,Intel,19.0
kaiyu22,Ingrasys,19.0
nathcohe,Cisco,18.75
ncalad,Others,18.75
sanjair-git,Others,18.6
gregshpit,Others,18.5
stanepc1,Others,18.5
bacrossland,Others,18.3
jhli-cisco,Cisco,18.3
shikenghua,Edgecore,18.2
AharonMalkin,Nvidia,18.0
StanleyCi,Others,18.0
davidm-arista,Broadcom,18.0
lukasstockner,GenesisCloud,18.0
martin-belanger,Dell,18.0
michealylj1,Others,18.0
scottlaird,Google,18.0
wbschwar,Others,17.7
juntseng62,Others,17.5
kannankvs<kannan_kvs@dell.com>,Dell,17.5
yangshp1987,JD,17.5
rbpittman,Others,17.4
stephengzh,Ruijie,17.0
119064273,Others,16.75
Ezrickd,Others,16.7
bbinxie,Others,16.5
hubblezzhu,Alibaba,16.5
shri-khare,Others,16.35
thaj-deen,Others,16.25
kishanps,Google,16.2
dennis0113,Edgecore,16.0
allas-nvidia,Nvidia,15.75
uraghura,Others,15.75
PJHsieh,Edgecore,15.5
richard28530,Others,15.35
fastiuk,Nvidia,15.25
vincentchiang-ec,Edgecore,15.25
habeebmohammed,Inventec,15.2
leoli-nps,Others,15.15
mfriyas,Others,15.15
pyadvichuk,Others,15.15
AlanYoush,Centec,15.0
FSSec,Others,15.0
KrisNey-MSFT<krisney@microsoft.com>,Microsoft,15.0
MellanoxBSP,Nvidia,15.0
Michael Miele<v-mimiele@microsoft.com>,Microsoft,15.0
SanjayTh,Others,15.0
Shuotian Cheng<shuche@microsoft.com>,Microsoft,15.0
andriydnvd,Others,15.0
bhaveshdell,Dell,15.0
budgrise,Others,15.0
dmytroxIntel,Intel,15.0
haslersn,Others,15.0
mhanif,Broadcom,15.0
orenreiss,Nvidia,15.0
JohnsonYJLu,Others,14.5
fillmorechen0928,Others,14.5
klhaung,Others,14.5
karthik-krishnamurthy,Dell,14.3
kielfriedt,Arm,14.25
jaganbal-a,Others,14.1
sumanbrcm,Broadcom,14.0
weixchen1215,Microsoft,14.0
stevenlu99,Broadcom,13.75
adyeung,Broadcom,13.7
sacnaik,Cisco,13.7
amulyan7,Cisco,13.5
andrii-savka,Others,13.5
nicwu-cel,Others,13.5
sudhanshukumar22,Broadcom,13.5
MaratGubaiev,Jabil,13.25
shihjeff,Marvell,13.05
jmmikkel,Others,13.0
andrewsapronov,Netberg,12.8
mipxman,Others,12.75
pjeyarat,Others,12.75
rajneeshaec,Marvell,12.75
ishidawataru,NTT,12.7
snider-nokia,Nokia,12.65
Kebo Liu<kebol@mellanox.com>,Nvidia,12.5
jainp1979,Broadcom,12.5
smahara,Dell,12.5
steven-guo-ec,Others,12.5
tiantianlv,Others,12.5
linalvin,Others,12.3
robert1030,TW,12.15
MuLinForest,Edgecore,12.0
WistronNetwork,Others,12.0
avinish-marvell,Marvell,12.0
dinosn,Others,12.0
dlringor,Others,12.0
faraazbrcm,Broadcom,12.0
oleksandrx-kolomeiets,Intel,12.0
rvisnu,Microsoft,12.0
sampad1996,Others,12.0
songqh2022,Others,12.0
sureshsekar28,Others,12.0
jon-nokia,Nokia,11.8
Stephenxf,Linkedin,11.55
jeromesun14,Tencent,11.5
kartik-arista,Broadcom,11.5
nkelapur,Broadcom,11.5
dan-arsenault,Broadcom,11.4
dipalipatel25,Others,11.4
slogan621,Others,11.4
reshmaintel,Intel,11.3
TyagiShailesh,Others,11.25
mbze430,Others,11.25
shall1024,Others,11.25
vikneels,Cisco,11.25
wjaco,Cisco,11.25
sachinv-msft,Microsoft,11.15
CLUDev,Others,11.0
maduramarathe9,Microsoft,10.65
banagiri,Marvell,10.5
guillaumelambert,Orange,10.5
msomasundaran,Fungible Inc,10.5
rakeshdatta,Microsoft,10.5
donboll,Others,10.45
OlaOliynyk,Others,10.4
CynthiaINV,Others,10.0
Peter5Lin,Pegatron Corp,10.0
bpar9,Others,10.0
cawand,Others,10.0
chaliu,Microsoft,10.0
fengkm,UfiSpace,10.0
fredyu190011,Others,10.0
hadiga,Linkedin,10.0
jjangmua,Others,10.0
jusherma,Cisco,10.0
srikrishnagopu,Others,10.0
xjasonlyu,Others,10.0
zoe-kuan,Others,10.0
mickeyspiegel,Intel,9.95
hzheng5,Alibaba,9.9
ChinaMobileNG,Teraspek,9.75
DeanKalla,Broadcom,9.7
batmancn,Others,9.7
amitabhja,Others,9.5
cpchangtw,Others,9.5
ljyfree,Centec,9.4
arista-nwolfe,Broadcom,9.3
BasimShalata,Others,9.25
hasan-brcm,Broadcom,9.1
yurypm,Broadcom,9.1
Arvind-Brcm,Broadcom,9.0
Rancho333,Others,9.0
andriidovhan,Others,9.0
aslam-man,Others,9.0
aussieserverhosts,Aussie Server Hosts,9.0
cchoate54,Microsoft,9.0
chiranjeevi-07,Others,9.0
copyandrun,Others,9.0
gvlaemyn,Cisco,9.0
hamnarauf,xFlow Research,9.0
ixodie,Others,9.0
jfeng-arista,Broadcom,9.0
link19430,Edgecore,9.0
nmoray-ebay,eBay,9.0
sandeep-kulambi,Broadcom,9.0
tadams-msft,Others,9.0
veber-alex,Others,9.0
victorhooi,Google,9.0
yucgu,Cisco,9.0
apogedik,Others,8.5
guxianghong,Centec,8.5
loshihyu,Aviatrix,8.5
mslocrian,Self,8.5
gpaussabrcm,Broadcom,8.45
superchild,Edgecore,8.25
crzas,Edgecore,8.0
rsunkad,Others,8.0
simone-dell,Dell,8.0
ArthiSivanantham,Dell,7.8
ITJamie,Others,7.8
li-pingmao,Linkedin,7.65
rameshsanth,Others,7.55
InventecJamesHuang,Others,7.5
JohnFanDNI,Others,7.5
NStetskovych-zz,Others,7.5
RichardWu-Hebut,Tencent,7.5
SumitAgarwal123,Broadcom,7.5
TETA-Net,TETA-co.ir,7.5
TzvikNVDA,Others,7.5
aledwmorris,Others,7.5
anilsadineni,Broadcom,7.5
charlag,Tutao,7.5
collivier,Orange,7.5
david-xk,Others,7.5
dduttman,Others,7.5
dependabot,Others,7.5
hari-selvam,Others,7.5
hehuang-nokia,Nokia,7.5
jeffchen1988,Others,7.5
joej164,Others,7.5
maksympr,Nvidia,7.5
nirmalya-keysight,Keysight,7.5
prafull-brcm,Broadcom,7.5
qnos,Others,7.5
shdasari,Broadcom,7.5
sivamukka,Broadcom,7.5
tw0byt3,Others,7.5
vincent201881,Others,7.5
vpsubramaniam,Others,7.5
yehjunying,Edgecore,7.5
zebracrowd,Others,7.5
rajendrat,Others,7.2
YonatanPitz,Others,7.1
nealtai,Others,7.0
atitjain,Others,6.95
Russell123987,Others,6.75
bahirul,Others,6.75
chaichairiko,Others,6.75
muhammad51,Others,6.75
aaronpayment,Others,6.6
jasmeetbagga,Others,6.5
jemifdo,Others,6.5
maheshwari-mayank,Broadcom,6.5
1002574903,Ragile,6.3
DawoodMehmood,xFlow Research,6.3
tjcw,IBM,6.25
SuvenduMozumdar,Keysight,6.2
jeff-yin,Dell,6.2
jangidrk,Broadcom,6.15
balajib-cisco,Cisco,6.1
AfraMariyam,Others,6.0
ArthiGovindaraj,Others,6.0
JaredLius,Others,6.0
JiangboHe,Others,6.0
LimorAmit,Others,6.0
ansrajpu-git,Others,6.0
bill-nokia,Nokia,6.0
bsun-sudo,Dell,6.0
cel-taylor,Others,6.0
cytsao1,Cisco,6.0
daniele-moro,Intel,6.0
davidfordouce,Others,6.0
daxia16,Nvidia,6.0
deepak-singhal0408,Microsoft,6.0
duhbbx,Others,6.0
geogchen,Microsoft,6.0
harshitgulati18,Others,6.0
lihuay,Microsoft,6.0
lizhuhuams,Microsoft,6.0
lokeshmarvell,Marvell,6.0
lorchid,Asterfusion,6.0
manjuv1,Others,6.0
mgheorghe,Keysight,6.0
oleksandrKovtunenko,Jabil,6.0
orfar1994,Nvidia,6.0
prasanna-cls,Others,6.0
ramachandrareddygaddam,Broadcom,6.0
rskorka,Others,6.0
siddegowda1,Others,6.0
vishnushetty,Broadcom,6.0
vivekvijaykumar,Others,6.0
vsrivastav78,Others,6.0
willieken559099,Others,6.0
xiaodaoaa,Others,6.0
yanjundeng,Cisco,6.0
garigipati31,Others,5.75
kenneth-arista,Broadcom,5.7
tieguoevan,Alibaba,5.65
jerseyang,Others,5.5
mad4321,Others,5.5
sdddean,Others,5.5
vivekmoorthy,Others,5.5
arpp93,Cisco,5.4
ragu-raman,Others,5.4
myronsosyak,Others,5.3
CharlieChenEC,Edgecore,5.25
Harrison-SH,Others,5.25
liuqu,Alibaba,5.2
ben-gale,Broadcom,5.05
Abdul-Raheem10,Broadcom,5.0
Rajpratik71,Others,5.0
abhishekd0,Broadcom,5.0
cytsai0409,UfiSpace,5.0
delta46101,Others,5.0
dr412113,Others,5.0
ec-michael-shih,Edgecore,5.0
huanlev,Cisco,5.0
hui-ma<huima@microsoft.com>,Microsoft,5.0
nazarii-gnydyn,Marvell,5.0
ryan44guo,Inspur,5.0
schobtr,Celestica,5.0
sholeksandr,Others,5.0
snifbh,Nvidia,5.0
staneshieh,Others,5.0
Str1ker17,Others,4.7
DhinakaranDayalan,Others,4.65
TencentSwitchGroup,Tencent,4.65
AStrangwood,Others,4.5
GAcharyaIndia,Others,4.5
JSpewock,Others,4.5
Japanavt,Others,4.5
OTaoZh,Others,4.5
Pesa,USnistgov,4.5
SudharshanSuresh,Others,4.5
SviatoslavNastasiak,Others,4.5
YanChii,Others,4.5
Zmegolaz,Others,4.5
abudaoweng,Others,4.5
adamx-xk,Others,4.5
ajuse,Others,4.5
appleCh,Others,4.5
ashwin-h,Others,4.5
aslam4g,Others,4.5
bigwboy,Others,4.5
brianlin-ec,Others,4.5
bsbsrkg,Others,4.5
chihhan123,Others,4.5
coolkidBigEye,Others,4.5
dcantunes123,Others,4.5
feanis,Others,4.5
florath,Others,4.5
galdem6,Others,4.5
gavinht21,Others,4.5
guangjung,Others,4.5
iancote,Others,4.5
inspurTW,Others,4.5
jSML4ThWwBID69YC,Others,4.5
jboomer,Others,4.5
jihaix,Baidu,4.5
johcheun,Others,4.5
laiguoliang-lyr,Others,4.5
linyutsung,Ufispace,4.5
mohannai,Others,4.5
nand0104,Others,4.5
netmanyys,Others,4.5
ntoorchi,Others,4.5
odd22,Orange,4.5
oplklum,Others,4.5
perry1106,Others,4.5
prprakas,Linkedin,4.5
ranjekum,Others,4.5
richmondstacey,Others,4.5
sahiltyagi4,rbccps-iisc dreamlabin,4.5
salvadorb,Others,4.5
shinoharakazuya,Others,4.5
sif7en,Others,4.5
songlinglingpml,Others,4.5
swapwz,H3C,4.5
tobzsc,Others,4.5
toggit,Others,4.5
tshalvi,Nvidia,4.5
vidhya-rajan,Others,4.5
yueyihui,China,4.5
zhangineer,wwt,4.5
zouzhao6,Others,4.5
twtseng-tim,Others,4.3
JafarSeyedi,Others,4.25
amar304,Others,4.05
chenpiaoping,Others,4.0
chenyq2,X Networks,4.0
hpersh,Others,4.0
hpersh-dell,Dell,4.0
liron-ze,Baidu,4.0
nirenjan,Others,4.0
okanchou9,Ingrasys,4.0
shilimkarvg,Others,4.0
thomas-am,Keysight,4.0
v-wfarris,Others,4.0
vemulabalaji,Others,3.85
123toorc,University of Edinburgh,3.75
Ariadw,Others,3.75
CNM777,Others,3.75
Grim-lock,Alibaba,3.75
Jarvx,Others,3.75
Komil-yc,Others,3.75
NoySa,Others,3.75
PRAVEEN-BABY,Others,3.75
Prashankalikotayt,Others,3.75
Tsingsoon,Others,3.75
allanstreib,Others,3.75
cpackham-atlnz,Others,3.75
dsetia-bfn,Intel,3.75
eyal-horn-nvidia,Nvidia,3.75
ezware,Others,3.75
fire-ant,Others,3.75
gck-04,Others,3.75
gcupryn,Intel,3.75
grantcurell,Dell,3.75
gukunqing,Others,3.75
jeremytouve,GenesisCloud,3.75
jhujhiti,Others,3.75
joyantamishu,Others,3.75
kidoflamancha,Others,3.75
ksubashh,Others,3.75
kwang789,Others,3.75
lgbin879,Others,3.75
longruiliu,BUAA,3.75
mahdiniya5252,Others,3.75
mathershifter,Broadcom,3.75
mpfau,Others,3.75
mtchhor,Others,3.75
nishi4321,Others,3.75
rathnasabapathyv,Dell,3.75
rudubey,Others,3.75
shanshri,pensnado,3.75
shaukathsathar,Others,3.75
slrflr,Others,3.75
ushax,Others,3.75
ymc-dabe,YMC AG,3.75
zhuangjh3,Others,3.75
tengfei-astfs,Asterfusion,3.5
tushar-ty,Broadcom,3.45
tanpinsiang,Others,3.4
Haidong988,Centec,3.25
wadelnn,UfiSpace,3.1
SathishKumarTR-Dell,Dell,3.05
CliveNi,Cloudlight,3.0
DeepanSaha,Others,3.0
Deva-N,Others,3.0
DukeOwlington,Others,3.0
Eric-Zaluzec-Vertiv,Vertiv,3.0
ForzaTian,Red Mud Village,3.0
HelenHZhang,Others,3.0
KhoobBabe,xFlow Research,3.0
Linda5067,Others,3.0
Liran-Ar,Others,3.0
MaksymPry,Others,3.0
MheniMerz,USnistgov,3.0
NehaRajeM,Microsoft,3.0
VadymYashchenko,Intel,3.0
alanC-Cameo,Others,3.0
andrewimeson,Others,3.0
arn-alt,Others,3.0
babu-s2,Others,3.0
busterswt,ArcaneByte,3.0
bwebb94,Others,3.0
daddiaz,Others,3.0
dmukun,Others,3.0
dpetryshintl,Others,3.0
dungru,Others,3.0
holmanb,Canonical,3.0
isabelladeleon12,Microsoft,3.0
joraff,Texas A&M University,3.0
kattamamatha,Others,3.0
kumarph,Others,3.0
lockless,Others,3.0
lornelong,Cisco,3.0
madhupalu,Others,3.0
maq123,Others,3.0
mdak1909,Others,3.0
melsom,TerraHost AS,3.0
mgrzybowski,Others,3.0
michael-bu,Others,3.0
mkjprior,Others,3.0
moshemos,Nvidia,3.0
mthatty,Others,3.0
pavannaregundi,Others,3.0
pawmas,Others,3.0
peggy-chu,Others,3.0
riverhong,Edgecore,3.0
roger530-ho,Others,3.0
rpjday,Crash Course,3.0
saikrishnagajula,Others,3.0
serhepopovych,Others,3.0
shaoshouping,Ruijie,3.0
skbhava,Broadcom,3.0
sowri1,Others,3.0
sramkrishna,Intel,3.0
taras-keryk,Others,3.0
utpalkantpintoo,Broadcom,3.0
vijayvyasm,Others,3.0
wangluochao902,Texas A&M University,3.0
weiliu-ivy,Microsoft,3.0
wjf1993,Others,3.0
FMusatescu,Others,2.5
Quanta-Switch,Others,2.5
RajeshPukhrajJain,Broadcom,2.5
aystarik,Others,2.5
dkourkouzelis,Others,2.5
dpronin,Others,2.5
elvistsai,Others,2.5
emilmih,Others,2.5
haowei1122,Others,2.5
peter-yu,Edgecore,2.5
yutatsuchiyamicrosoft,Microsoft,2.5
mkeda,Google,2.4
3Hren,SONM,2.25
CnaZhao,Others,2.25
hustleige2003,Others,2.25
jaygmuru,Cisco,2.25
jianjundong,Others,2.25
jmzou,Others,2.25
justin-lu-lyc,Others,2.25
scjuang,Edgecore,2.25
shihdada,Others,2.25
amaneti,Broadcom,2.2
cony7642,Others,2.15
Anandaraj-Maharajan,Others,2.1
deni64k,Others,2.1
vadimp-nvidia,Nvidia,2.1
vmytnykx,Intel,2.1
RayWang910012,Edgecore,2.0
SinghMinu,Others,2.0
YaoTien,Others,2.0
ajbalogh,Keysight,2.0
borys-karpliak,Others,2.0
dushyantarora,Google,2.0
