Author,Organization,Score
arlakshm,Microsoft,8393.95
divyagayathri-hcl,Google,6771.85
bibhuprasad-hcl,Google,4894.90
VSuryaprasad-HCL,Google,4852.10
Gfrom2016,Microsoft,4311.10
saiarcot895,Microsoft,3592.20
ksravani-hcl,Google,3252.35
lipxu,Microsoft,3049.05
bingwang-ms,Microsoft,2848.10
lolyu,Microsoft,2308.40
wangxin,Microsoft,2284.30
liushilongbuaa,Microsoft,2276.00
yxieca,Microsoft,2138.15
vadymhlushko-mlnx,Nvidia,1962.45
yaqiangz,Microsoft,1919.90
zjswhhh,Microsoft,1910.45
StormLiangMS,Microsoft,1907.15
yejianquan,Microsoft,1906.20
hdwhdw,Microsoft,1904.00
xwjiang-ms,Microsoft,1888.50
r12f,Microsoft,1864.00
yue-fred-gao,Cisco,1847.55
theasianpianist,Microsoft,1840.15
sdszhang,Microsoft,1804.50
liuh-80,Microsoft,1790.55
dgsudharsan,Nvidia,1786.60
stephenxs,Nvidia,1785.60
mihirpat1,Microsoft,1773.20
Pterosaur,Microsoft,1762.30
qiluo-msft,Microsoft,1739.50
vivekrnv,Nvidia,1729.70
yijingyan2,Microsoft,1676.60
Junchao-Mellanox,Nvidia,1659.15
yutongzhang-microsoft,Microsoft,1632.60
auspham,Microsoft,1586.35
BYGX-wcr,Microsoft,1552.80
ganglyu,Microsoft,1544.25
kcudnik,Microsoft,1493.45
zbud-msft,Microsoft,1454.10
philo-micas,Micas,1413.10
jackson-micas,Micas,1400.40
prgeor,Microsoft,1394.30
lotus-nexthop,Nexthop,1387.65
ZhaohuiS,Microsoft,1330.80
abdosi,Microsoft,1330.80
vmittal-msft,Microsoft,1317.10
oleksandrivantsiv,Nvidia,1310.85
nazariig,Nvidia,1273.85
pavannaregundi,Marvell,1223.45
prabhataravind,Microsoft,1189.70
vvolam,Microsoft,1187.80
lizhijianrd,Microsoft,1169.45
stepanblyschak,Nvidia,1146.20
Xichen96,Microsoft,1121.65
deepak-singhal0408,Microsoft,1111.00
rkavitha-hcl,Google,1096.25
wen587,Microsoft,1077.30
xumia,Microsoft,1059.95
rustiqly,Others,1051.80
w1nda,Others,1035.05
chander-nexthop,Nexthop,1024.50
gpunathilell,Nvidia,1020.55
